Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Český Těšín,73701,,25500,1/2014,"jíž se zakazuje provozování sázkových her, loterií a jiných podobných her",1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Český Těšín,73701,,25500,3/2014,"kterou se mění obecně závazná vyhláška č. 2/2014, jíž se upravuje provozování loterijní činnosti na území města Český Těšín",21/5/2014,x,x,x,x,x,x,x,x,,,
Český Těšín,73701,,25500,2/2014,jíž se upravuje provozování loterijní činnosti na území města Český Těšín,1/5/2014,x,x,x,x,x,x,x,x,lze od 8:00 do 22:00hod ,,
Český Těšín,73701,,25500,9/2012,kterou se mění obecně závazná vyhláška č. 4/2012 k zabezpečení záležitosti veřejného pořádku v oblasti omezení hazardu,4/1/2013,x,x,x,x,x,x,x,x,,oprava citace zákonných ustanovení v OZV č.4/2012;,
Český Těšín,73701,,25500,4/2012,k zabezpečení záležitosti veřejného pořádku v oblasti omezení hazardu,12/12/2012,x,x,x,x,x,x,x,x,,výčet povinností při provozování;,
Čestlice,25101,,588,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",10/9/2011,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Číčenice,38771,,454,2/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Číměř,37832,,708,2/2010,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/1/2011,x,,,,,,,,,80m nebo 50m od objektů;,
Čisovice,25204,,928,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,31/5/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Čížkovice,41112,,,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",9/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území,
Čížov,58601,,,2/2016,"o zákazu sázkových her, loterií a jiných podobných her na celém území obce Čížov",6/10/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce od 1.3.2018,
Čkyně,38481,,1590,2/2013,kterou se mění obecně zíávazná vyhláška č. 2/2011 o regulaci provozování loterií a jiných podobných her,26/6/2013,x,,,,,,,,,seznam povolených adres pouze pro § 2 písm e);,
Čkyně,38481,,1590,2/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,,,,,,,,,seznam povolených adres pouze pro § 2 písm e);,
Dalovice,36002,,1857,2/2013,"o stanovení míst, ve kterých mohou být provozovány výherní hrací přístroje",30/4/2013,x,,,,,,,,,"seznam povolených adres, zrušena OZV 7/2011;",
Děčín,40502,,50620,2/2016,"o regulaci provozování sázkových her, loterií a jiných podobných her",8/10/2016,x,x,,x,x,x,x,x,,zákaz na celém území města s výjimkou kasin,
Desná,46861,,3465,3/2008,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/12/2008,x,,,,,,,,,různé vzdálenosti od různých budov;,
Dobrochov,79807,,,1/2016,o regulaci provozování loterií a jiných podobných her na území města Dobrochov,17/9/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Dobrovice,29441,,3218,2/2012,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje a jiná technická herní zařízení povolená Ministerstvem financí podle jiného právního předpisu",3/7/2012,x,,,x,,x,,x,,seznam povolených adres;,
