Město/Obec,PSČ,,Počet obyv.,Číslo vyhlášky,Název OZV,Účinnost vyhlášky,e) (VHP),g) (bingo),i) (živá hra),l) (CLS/IVT),m) (karty),n) (LLS),j),§50/3 (ostatní),Čas,Poznámka,
Město Touškov,33033,,2085,6/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/7/1999,x,,,,,,,,,zákaz všech VHP dle §2 písm. e) na všech veřej. příst. místech;,
Mikulčice,69619,,1973,4/2007,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2008,x,,,,,,,,,zákaz na všech veřejně přístupných místech;,
Mikulovice,67133,,622,4/2011,"o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/7/2011,x,,,,,,,,,seznam zakázaných adres + 100 m;,
Miletín,50771,,907,2/2013,o zákazu provozování loterií a jiných podobných her,1/1/2014,x,x,x,,x,x,x,x,,"Zákaz na celém území obce!OZV nereguluje IVT! V případě žádosti o povolení IVT se, prosím, obraťte na právníky!",
Miletín,50771,,907,2/2008,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",16/4/2008,x,,,,,,,,,seznam povolených adres,
Milevsko,39901,,8896,6/2011,"kterou se zrušuje obecně závazná vyhláška města Milevska č. 3/2008 o stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/1/2012,,,,,,,,,,ruší se okruh vzdáleností stanovený OZV 3/2008;,
Milovice,28923,,9607,2/2013,"o regulaci provozu sázkových her, loterií aj. na území města Milovice",10/9/2013,x,x,x,x,x,x,x,x,lze od 10:00 do 22:00,povoleno na všech veřejně přístupných místech; zrušuje se OZV 2/2009;,
Mladá Boleslav,29301,,44778,4/2015,"O stanovení míst, na kterých mohou být provozovány výherní hrací přístroje, loterie a jiné podobné hry",11/7/2015,x,,,x,,x,,x,,"seznam povolených adres, přechodné ustanovení",
Mnichovo Hradiště,29501,,8536,3/2016,"kterou se mění příloha č. 1 obecně závazné vyhlášky č. 5/2015 ze dne 16.12.2015, o regulaci provozování loterií a jiných podobných herna území města",1/10/2016,x,x,x,x,x,x,x,x,,doplnění seznamu povolených adres OZV č. 5/2015,
Mnichovo Hradiště,29501,,8536,5/2015,"kterou se mění obecně závazná vyhláška č. 4/2015 ze dne 22.06.2015, o regulaci provozování loterií a jiných podobných her na území obce",1/1/2016,x,x,x,x,x,x,x,x,"neděle - čtvrtek od 18:00 do 02:00 hodin, pátek - sobota od 18:00 do 03:00 hodin","seznam povolených adres, přechodné ustanovení do 31.12.2015",
Mnichovo Hradiště,29501,,8536,4/2012,kterou se zrušuje obecně závazná vyhláškač. 2/2012 ze dne 27.2.2012 o zákazu provozování loterií a jiných podobných her na celém území města Mnichovo Hradiště,1/7/2012,,,,,,,,,,neregulováno,
Modletice,25101,,590,1/2011,"o zákazu provozování výherních hracích přístrojů, interaktivních videoloterních terminálů, lokálních loterních systémů",15/12/2011,x,,,x,,x,,,,zákaz na celém území obce;,
Modřice,66442,,4673,2/2012,"o stanovení míst a času, ve kterých lze provozovat loterie a jiné podbné hry",30/6/2012,x,x,x,x,x,x,x,x,denně od 12 do 24:00 hod. s výjimkou OC Olympia,seznam povolených adres;,
Mohelnice,78985,,9862,1/2016,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území města Mohelnice",13/5/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Mohelnice,78985,,9862,3/2014,"o stanovení opatření k omezení propagace hraní některých sázkových her, loterií a jiných podobných her",4/7/2014,,,,,,,,,,OZV upravující označení provozoven a jejich vnější vzhled,
Mochov,25087,,1297,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celé území obce,18/6/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Mokrá-Horákov,66404,,,2/2015,o regulaci provozování loterií a jiných podobných her na území obce Mokrá-Horákov a stanovení opatření k zabezpečení veřejného pořádku,1/7/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Morašice,56951,,702,1/2009,"O stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/8/2009,x,,,,,,,,,seznam zakázaných adres;,
Morávka,73904,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Morávka,1/4/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce; přechodňák;,
Moravská Třebová,57101,,10841,3/2012,"o stanovení času, ve kterém mohou být provozovány loterie a jiné podobné hry na území města Moravská Třebováa stanovení míst, na kterýcj je provozování loterií a jiných podobných her zakázáno",1/6/2012,x,x,x,x,x,x,x,x,lze od 6:00 do 22:00,seznam zakázaných adres;,
Moravské Bránice,66464,,,1/2014,o regulaci provozování loterií a jiných podobných her,1/4/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Mořinka,26718,,138,4/2007,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",15/4/2007,x,,,,,,,,,seznam zakázaných adres;,
Most,43401,,67030,1/2013,o regulaci provozování loterií a jiných podobných her,10/7/2013,x,x,x,x,x,x,x,x,"seznam ulic, na kterých je zakáno provozovat uvedené loterie",seznam zakázaných adres;,
Mostek,54475,,1345,2/2007,O provozování výherních hracích přístrojů na území obce Mostek,1/1/2008,x,,,,,,,,15:00 - 24:00,seznam povolených adres v uvedené době;,
Moutnice,66455,,1146,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce Moutnice,1/10/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Moutnice,66455,,1146,3/2012,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry na území obce Moutnice",1/1/2013,x,x,x,x,x,x,x,x,,2 POVOLENÉ ADRESY;,
Náchod,54701,,20763,1/2013,"kterou se stanoví místa, na kterých lze probvozovat loterie a jiné podobné hry",10/7/2013,x,x,x,x,x,x,x,x,-,rozšíření seznamu povolených adres; ruší se OZV 2/2012;,
Napajedla,76361,,7497,1/2015,k zabezpečení místních záležitostí veřejného pořádku v oblasti provozování loterií a jiných podobných herpomocí technických prostředků,10/7/2015,x,x,x,x,x,x,x,x,"v neděli a čtvrtek od 6:00 hodin do 24:00 hodin; v pátek, sobotu a v den přede dnem pracovního klidu od 6:00 do 02:00 hodin",seznam povolených míst,
Nedvědice,59262,,1319,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území,1/4/2013,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Nejdek,36221,,8446,2/2016,o regulaci provozování loterií a jiných podobných her,8/7/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Nepomuk,33501,,3780,1/2013,"jíž se zakazuje provozování sázkových her, loterií a jiných podobných her",27/8/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území obce, zrušena OZV 1/2012;",
Neratovice,27711,,16415,2/2016,"kterou se zrušuje obecně závazná vyhláška města Neratovice č. 4/2013 ve znění vyhlášky č. 4/2015 o stanovení počtu provozovaných herních zařízení a míst, ve kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry na území města",31/12/2016,,,,,,,,,,zrušuje OZV č. 4/2013 ve znění OZV č. 4/2015,
Neratovice,27711,,16415,4/2015,"kterou se mění obecně závazná vyhláška města Nerotovice č. 4/2013 o stanovení počtu provozovaných herních zařízení a míst, ve kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry na území města",17/11/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Neratovice,27711,,16415,4/2013,"o stanovení počtu provozovaných herních zařízení a míst, ve kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry na území města",1/12/2013,x,x,x,x,x,x,x,x,,"na vyjmenovaných adresách lze provozovat vše vyjma VHP a IVT, které pravděpodobně od účinnosti vyhlášky nebude možné dále povolovat (potřeba se dotázat města, zda chtějí stav zakonzervovat či postupně snižovat, není zcela zřejmé);",
Neveklov,25756,,2505,1/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města,1/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Nikolčice,69301,,813,2/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Nikolčice,20/10/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Nižbor,26705,,1855,3/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,3/1/2014,x,x,x,x,x,x,x,x,,"zákaz na celém území, (přechodňák);",
Nová Bystřice,37833,,,3/2015,o regulaci provozování loterií a jiných podobných her,3/10/2015,x,x,x,x,x,x,x,x,,seznam povolených adres,
Nová Paka,50901,,9335,1/2013,o zákazu provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Nová Role,36225,,4137,2/2007,"o stanovení okruhu vzdáleností okolo budov, kde nesmí být povoleno provozování výherních hracích přístrojů",1/1/2008,x,,,,,,,,,100 m;,
Nová Včelnice,37842,,2346,3/2011,"o stanovení veřejně přístupných míst, na kterých je zakázáno provozování výherních hracích automatů, videoloterijních terminálů a jiného technického herního zařízení",18/8/2011,x,,x,x,,x,,,,seznam zakázaných adres;,
Nová Ves,46331,,739,6/2013,"o regulaci provozování sázkových her, loterií a jiných podobných her",21/5/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Nová Ves I,28002,,,1/2016,o regulaci provozování loterií a jiných podobných her,1/1/2017,x,x,x,x,,x,x,x,,zákaz na celém území obce,
Nová Ves nad Lužnicí,37809,,357,1/2011,"jíž se zakazuje na území obce Nová Ves nad Lužnicí provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení  povolovaná podle § 50 odst. 3 zákona 202/1990 Sb. o loteriích a jiných podobných hrách ve znění pozdějších předpisů",1/1/2012,x,,,x,,,,x,,zákaz na celém území obce;,
Nové Město na Moravě,59231,,10247,9/2013,"o stanovení veřejně přístupných míst, na kterých je provozování loterií a jiných podobných her zakázáno",15/1/2014,x,x,x,x,x,x,x,x,,"zákaz na celém území (včetně místních částí Hlinné, Jiříkovice, Maršovice, Olešná, Petrovice, Pohledec, Rokytno, Slavkovice, Studnice); zrušuje se OZV 5/2013; přechodňák do  31.12.2014",
Nové Město pod Smrkem,46365,,3871,2/2013,"o stanovení veřejně přístupných míst, kde je povoleno provozovat sázkové hry, loterie a jiné podobné hry a stanovení podmínek, za kterých je povoleno provozovat sázkové hry, loterie a jiné podobné hry",15/7/2013,x,x,x,x,x,x,x,x,lze provozovat jen od 20h do 24h,seznam povolených adres;,
Novosedlice,41731,,2346,6/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,"seznam zakázaných adres pro VHP, zbytek zákaz všude;",
Nový Bor,47301,,12259,6/2011,o zákazu provozování loterií a jiných podobných her na území města Nový Bor,1/1/2012,x,,,x,x,x,x,x,,zákaz na celém území města;,
Nový Bydžov,50401,,7129,2/2013,"kterou se mění a doplňuje obecně závazná vyhláška 2/2012  o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry",1/1/2014,x,x,x,x,x,x,x,x,,změna seznamu povolených adres;,
Nový Bydžov,50401,,7129,2/2012,"o stanovení míst a času, ve kterých mohou být provozovány loterie a jiné podobné hry",30/6/2012,x,x,x,x,x,x,x,x,"ne. až čt. + svátky - od 11.00 do 22.00, pá+so - od 10.00 do 24.00",seznam povolených adres;,
Nový Hrádek,54922,,777,2/2012,kterou se stanoví zákaz provozování loterie a jiných podobných her na celém území obce,1/1/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Nový Jičín,74101,,23909,12/2011,"o stanovení míst pro sázkové hry dle § 2 písm. e), g), i), l, m), n) a loterie a jiné podobné hry podle § 2 písm. j) a § 50 odst. 3 zákona č. 202/1990 Sb. o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",1/1/2012,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Nučice,25216,,,1/2014,"o stanovení místa a času provozování sázkových her, loterií a jiných obdobných her v katastru obce Nučice",21/2/2014,x,x,x,x,x,x,x,x,"ne-čt lze od 9:00 do 22:00h, pá-so lze od 9:00 do 24:00h",seznam povolených adres (2 povolené adresy),
Nymburk,28802,,14614,3/2013,o regulaci provozování loterií a jiných podobných her,1/1/2014,x,x,x,x,x,x,x,x,ruší OZV 6/2011,;,
Nýrsko,34022,,5121,4/2013,"o regulaci provozování některých sázkových her, loterií a jiných obdobných her na území města",1/1/2014,x,x,x,x,x,x,x,x,"ne - čt:09:00 až 01:00, pá-so: 09:00 až 01:00, den před svátkem/dnem pracovního klidu: 09:00 až 04:00","seznam povolených adres,  zrušuje s e OZV 3/2007 ve znění 3/2010;",
Obrnice,43521,,2544,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",5/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Odolena Voda,25070,,5522,1/2008,o stanovení míst a času provozování výherních hracích přístrojů,15/5/2008,x,,,,,,,,lze 18:00 - 7:00 v jednom objektu,"100 m, seznam povolených ulic;",
Odrava,35002,,222,2/2012,"jíž se stanoví místa a čas, na kterých lze provozovat výherní hrací přístroje, interaktivní videoloterní terminálya technická hrací zařízení povolovaná podle § 50 odst. 3 zákona č. 202/1990 Sb. o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",15/6/2012,x,,x,x,x,x,,x,,dva povolené objekty;,
Odry,74235,,7467,5/2014,o regulaci provozování loterií a jiných podobných her,2/1/2015,x,x,x,x,x,x,,x,od 10:00 do 22:00 hodin,"regulace provozní doby, zrušuje OZV č. 5/2010 a OZV č. 1/2013",
Okřínek,29001,,155,4/2011,"o stanovení míst, na kterých mohou být provozovány výherní hrací přístroje včetně interaktivních videoloterijních terminálů",7/1/2012,x,,,x,,,,,,zákaz na celém území;,
Oldřišov,74733,,1340,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/1/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Olomouc,77900,,100043,5/2013,"o regulaci provozu sázkových her, loterií a jiných podobných her",4/1/2014,x,x,x,x,x,x,x,x,,seznam povolených adres = příloha  č.1; seznam povolených adres jen do 31.12.2014 = příloha č.2; ruší se OZV 1/2013;,
Oloví,35707,,,4/2015,o regulaci provozování loterií a jiných podobných her,1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Olšovec,75301,,463,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",1/6/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Ondřejov,25165,,1374,1/2012,,20/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Opatovice,66461,,,2/2015,"o zákazu provozovat výherní hrací přístroje, interaktivní videoloterní terminály a technická hrací zařízení na území obce Opatovice",1/1/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Opatovice nad Labem,53345,,,2/2016,o regulaci provozování loterií a jiných podobných her,9/7/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Opava,74601,,58643,3/2015,"o stanovení míst a času provozu sázkových her, loterií a jiných podobných her ",15/5/2015,x,x,x,x,x,x,x,x,"mohou být provozovány v pracovních dnech od 00:00 hod až do 07:00 hod a od 14:00 až do 24:00 hod, v sobotách, nedělích a ve státem uznaných dnech pracovního klidu od 00:00 hod do 24:00 hod",seznam povolených adres,
Opava,74601,,58643,2/2012,"o zrušení obecně závazné vyhlášky č. 8/2007, o stanoví času provozu výherních hracích přístrojů",3/4/2012,,,,,,,,,bez omezení,OZV 2/2012 ruší vyhlášku 8/2007;,
Orlová,73511,,,2/2014,"o stanovení míst, na kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry",14/5/2014,x,x,x,x,x,x,x,x,,seznam povolených adres,
Ořechov,66444,,2378,3/2011,o zákazu provozování loterií a jiných podobných her na území obce,1/1/2012,x,,,x,,x,,,,zákaz na celém území obce;,
Osek,41705,,4934,8/2011,"o regulaci provozování sázkovývh her, loterií a jiných podobných her",1/1/2012,x,x,x,x,,x,x,x,,zákaz provozování na celém území města;,
Oslavice,59401,,627,3/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů zakázáno",1/1/2012,x,x,x,x,x,x,x,x,pro dříve povolené lze od 21:00 do 05:00,zákaz na všech veřejně přístupných místech;,
Ostrava,70200,,306128,8/2015,kterou se reguluje provozování loterií a jiných podobných her na území statutárního města Ostravy,1/1/2017,x,x,x,x,x,x,x,x,,seznam povolených adres,
Ostrava,70200,,306128,11/2011,"kterou se reguluje provozování výherních hracích přístrojů, interaktivních videoloterních terminálů a lokálních loterních systémů na území statutárního města Ostravy",1/1/2012,x,,,x,,x,,,"zákaz provozování jen v některých obvodech na veřejně přístupných místech, v některých obvodech časové omezení od 10:00 do 22:00",zákaz dle v čl. 1 uvedených územních a městských obvodech;,
Ostroměř,50752,,1364,1/2010,"o stanovení míst, na kterých lze provozovat výherní hrací přístroje",21/4/2010,x,,,,,,,,,"seznam povolených částí ulic, mapa;",
Ostrov,36301,,17373,4/2005,kterou se mění obecně závazná vyhláška 1/2004 o místním poplatku za užívání veřejného prostranství a obecně závazná vyhláškač. 4/2003 o lokalizaci míst a časovému omezení provozu povolených výherních hracích přístr,15/4/2005,x,,,,,,,,,sloučená OZV s formální úpravou OZV 4/2003;,
Ostrov,36301,,17373,4/2003,O lokalizaci míst a časovému omezení provozu povolených výherních hracích přístrojů,1/1/2004,x,,,,,,,,x,"seznam zakázaných adres, stanovení provozní doby;",
Ostrov u Macochy,67914,,1076,1/2012,o regulaci provozu loterií a jiných podobných her,1/4/2012,x,,,x,,x,,x,,zákaz na celém území;,
Otaslavice,79806,,1320,1/2013,jíž se zakazuje na území obce Otaslavice provozovat loterie a jiné podobné hry,21/2/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Otice,74781,,1318,2/2012,"o regulaci provozování sázkových her, loterií a jiných podobných her",13/7/2013,x,x,x,x,x,x,x,x,,seznam 2 povolených adres;,
Otovice,54972,,,2/2015,"o zákazu provozování některých sázkových her, loterií a jiných podobných her",5/5/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Otrokovice,76502,,18524,8/2011,o úplném zákazu provozování některých loterií a jiných podobných her na celém území města,1/1/2012,x,x,x,x,x,x,x,x,,zákaz provoz. v OZV uvedených lot. a sáz. her na celém území města;,
Pacov,39501,,4923,1/2011,"o stanovení okruhu vzdálenosti, v němž nesmí být provozování výherních hracích přístrojů povoleno",4/11/2011,x,,,,,,,,,10 m;,
Panenské Břežany,25070,,567,1/2016,o úplném zákazu provozování loterií a jiných podobných her,1/4/2016,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Panenské Břežany,25070,,567,6/2008,o omezování provozování výherních hracích přístrojů,8/9/2008,x,,,,,,,,,100 m;,
Pardubice,53000,,91073,7/2011,o regulaci provozování výherních hracích přístrojů,29/11/2011,x,,,x,,x,,x,,"v obvodech I, II, III a V je seznam povolených adres, ve zbytku neregulováno;",
Pardubice,53000,,91073,3/2012,o regulaci provozování výherních hracích přístrojů ve znění obecně závazné vyhlášky č. 7/2011,31/12/1899,x,,,x,,x,,x,,AKTUALIZACE 7/2011;,
Paršovice,75355,,379,1/2009,"O stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",1/1/2010,x,,,,,,,,,100 m;,
Paseka,78397,,1194,1/2013,o regulaci provozování loterií a jiných podobných her,1/7/2014,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Pasohlávky,69122,,735,1/2014,"kterou se zakazuje na území obce Pasohlávky provozovat výherní hrací přístroje, interaktivní videoloterní terminály a jiné podobné hry povolené podle § 50, odst. 3, zákona č. 202/1990 Sb.,o loteriích a jiných podobných hrách, ve znění pozdějších předpisů",3/1/2015,x,,,x,,,,x,,zákaz na celém území obce,
Pavlice,67156,,,1/2014,o regulaci provozování loterií a jiných podobných her,17/12/2014,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Pec pod Sněžkou,54221,,703,1/2012,"o stanovení veřejně přístupných míst a času, ve kterých je provozování výhernách hracích přístrojů, koncových interaktivních videoloterijních terminálů a herních míst lokálního systému na území města pece pod Sněžkou zakázáno",1/6/2012,x,,,x,,x,,,zákaz od 10.00 do 17.00 všude,zákaz na místech podle mapy;,
Pečky,28911,,4512,3/2011,o zákazu provozováníuvedenýc  loterií a jiných podobných her na území města Pečky,30/12/2011,x,x,x,x,x,x,x,x,,zákaz na celé území města;,
Pelhřimov,39301,,16339,5/2016,"kterou se mění obecně závazná vyhláška Města Pelhřimov č. 3/2016 o stanovení míst, na kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry",1/10/2016,x,x,x,x,x,x,x,x,,"seznam povoleých adres, mění OZV č. 3/2016",
Pelhřimov,39301,,16339,3/2016,"o stanovení míst, na kterých mohou být provozovány sázkové hry, loterie a jiné podobné hry",1/5/2016,x,x,x,x,x,x,x,x,,seznam povolených adres,
Perná,69186,,762,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/6/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, ruší se OZV 3/2012;",
Peruc,43907,,,1/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her",24/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území městyse,
Petrovice,26255,,1371,8/2011,"o stanovení veřejně přístupných míst, na kterých je provozování výherních hracích přístrojů a jiných technických zařízení zakázáno",1/1/2012,x,,,,,x,,,,zákaz na všech veřejně přístupných místech;,
Petřvald,73541,,7090,2/2012,kterou se reguluje provozování loterií a jiných podobných her na území města Petřvaldu,1/7/2012,x,x,x,x,x,x,x,x,"zákaz od 22.00 do 6.00 v prac. dny, jinak od 0.00 do 6.00",;,
Písek,39701,,29880,8/2011,"o stanovení míst, na kterých je provozování sázkových her, loterií a jiných podobných her zakázáno",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Pitín,68771,,,1/2015,o zákazu provozování loterií a jiných podobných her na celém území obce Pitín,29/9/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Planá,34815,,5603,2/2013,o zákazu vybraných sázkových her na vymezeném území města Planá,1/1/2014,x,,,x,,x,,,,"zákaz v okruhu 100 m od vyjmenovaných adres, zrušuje se OZV 2/2012;",
Planá nad Lužnicí,39111,,3227,2/2011,o lokalizaci míst provozu povolených výherních hracích přístrojů a interaktivních videoloterních systémů - terminálů ve městě Planá nad Lužnicí,1/1/2012,x,,,x,,,,x,,"seznam zakázaným adres (míst), nevztahuje se na kasina;",
Plánice,34034,,1703,2/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území města Plánice,17/12/2013,x,x,x,x,x,x,x,x,,"zákaz na celém území, přechodňák;",
Plavy,46846,,1089,2/2012,o úplném zákazu provozování loterií a jiných podobných her na celém území obce,13/4/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Plzeň,30100,,169688,2/2014,"kterou se mění vyhláška statutárního města Plzně č. 4/2012 o stanovení míst a času, ve kterém mohou být provozovány loterie, sázkové anebo jiné podobné hry, ve znění pozdějších předpisů",21/5/2014,,,,,,,,,,mění OZV č. 4/2012,
Plzeň,30100,,169688,1/2014,"kterou se mění vyhláška statutárního města Plzně č. 4/2012 o stanovení míst a času, ve kterém mohou být provozovány loterie, sázkové anebo jiné podobné hry, ve znění pozdějších předpisů",21/5/2014,,,,,,,,,,mění OZV č. 4/2012,
Plzeň,30100,,169688,5/2013,"kterou se mění vyhláška statutárního města Plzeň č. 4/2012  o stanovení míst a času, ve kterém mohou být provozovány loterie, sázkové nebo jiné podobné hry",28/9/2013,x,x,x,x,x,x,x,x,,Nový seznam povolených adres! Nahrazuje ten předchozí.;,
Plzeň,30100,,169688,11/2012,"kterou se mění vyhláška statutárního města Plzeň č. 4/2012  o stanovení míst a času, ve kterém mohou být provozovány loterie, sázkové nebo jiné podobné hry",4/1/2013,x,x,x,x,x,x,x,x,,nový seznam povolených adres + provozní doba !!! Nahrazuje předchozí seznam.;,
Plzeň,30100,,169688,4/2012,"o stanovení míst a času, ve kterém mohou být provozovány loterie, sázkové nebo jiné podobné hry",25/5/2012,x,x,x,x,x,x,x,x,,"UŽ JE NOVÝ SEZNAM V 11/2012 seznam povolených adres, provozní doba;",
Poběžovice,34522,,,3/2016,o regulaci provozování loterií a jiných podobných her ,1/1/2017,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Počátky,39464,,,3/2015,"již se zakazuje provozování sázkových her, loterií a jiných podobných her",1/1/2016,x,x,x,,x,x,x,x,,zákaz na celém území města,
Podbořany,44101,,6399,6/2011,"o regulaci provozování sázkových her, loterií a jiných podobných her",1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Poděbrady,29001,,13894,1/2015,"kterou se mění příloha č. 1 vyhlášky č. 10/2012 o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry",18/4/2015,x,x,x,x,x,x,x,x,,změna seznamu povolených adres,
Poděbrady,29001,,13894,10/2012,"o stanovení míst, na kterých mohou být provozovány loterie a jiné podobné hry",1/1/2013,x,x,x,x,x,x,x,x,,seznam povolených adres;,
Podlesí,26101,,917,1/2013,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,1/11/2013,x,x,x,x,x,x,x,x,zákaz na celém území,;,
Podmokly,33808,,,3/2015,o regulaci provozování loterií a jiných podobných her,16/12/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Podolí,66403,,1165,3/2015,o regulaci provozování loterií a jiných podobných her a stanovení opatření k zajištění veřejného pořádku na území obce Podolí,26/11/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Pohořelice,69123,,4621,6/2006,"O stanovení okruhu vzdáleností, v němž nesmí být provozování výherních hracích přístrojů povoleno",2/3/2006,x,,,,,,,,,50 m od kostela sv. Jakuba;,
Polevsko,47116,,343,2/2013,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",21/6/2013,x,x,x,x,x,x,x,x,,zákaz na celém území;,
Police nad Metují,54954,,,2/2015,o zákazu provozu výherních hracích přístrojů a jiných podobných loterií a her na celém území města Police nad Metují,6/11/2015,x,x,x,x,x,x,x,x,,zákaz na celém území města,
Polná,58813,,,1/2014,kterou se stanoví zákaz provozování loterií a jiných podobných her na úztemí města Polná,1/1/2015,x,x,x,x,x,x,x,x,,zákaz na celém území; přechodné ustanovení,
Pomezí,56971,,,2/2015,o regulaci provozování loterií a jiných podobných her,13/3/2015,x,x,x,x,x,x,x,x,,zákaz na celém území obce,
Poniklá,51242,,1194,1/2012,"o zákazu provozování sázkových her, loterií a jiných podobných her na celém území obce",1/7/2012,x,x,x,x,x,x,x,x,,zákaz na celém území obce;,
Popice,69127,,953,5/2012,kterou se stanoví zákaz provozování loterií a jiných podobných her na celém území obce,14/4/2012,x,,x,x,x,x,,x,,zákaz na celém území obce;,
Postoloprty,43942,,5036,1/2013,kterou se mění obecně závazná vyhláška č. 6/2011 o regulaci provozování loterií a jiných podobných her,9/4/2013,x,x,x,x,x,x,x,x,Lot. aj. podob. Hry povolené MF před 31.12.2011 lze provozovat jen v době  od 8:00-14:00,doplňuje OZV 6/2012 o čl.2.přechodné ustanovení;,
Postoloprty,43942,,5036,6/2011,o regulaci provozování loterií a jiných podobných her,1/1/2012,x,x,x,x,x,x,x,x,,zákaz na celém území města;,
Povrly,40002,,,1/2015,"o regulaci provozování sázkových her, loterií a jiných podobných her",15/12/2015,,x,x,x,x,x,x,x,,zákaz na celém území obce,
Pozořice,66407,,,1/2016,o regulaci provozování loterií a jiných podobných her,1/4/2016,x,x,x,x,x,x,x,x,,zákaz na celém území městyse,
